license_numbers,premise_address,_id,name_of_license,business_name,latitude,longitude,postal_code
SW14484J000,"48 TOH GUAN ROAD EAST ENTERPRISE HUB, S(608586)",79,SRI MURUGAN TRADING PTE. LTD.,SRI MURUGAN TRADING,1.33683097525786,103.754341430783,608586
SW14542A000,"4 HILLVIEW RISE, #02-07 HILLV2, S(667979)",80,COLD STORAGE SINGAPORE (1983) PTE LTD,HILLVIEW MARKET PLACE,1.36355095770679,103.76423610633,667979
SW14633X000,"2 BUKIT BATOK WEST AVENUE 7, #01-10 HomeTeamNS BUKIT BATOK CLUBHOUSE, S(659003)",81,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.36587481730827,103.750225305199,659003
SW14718K000,"70 TUAS SOUTH AVENUE 1 TUAS VIEW DORMITORY, S(637285)",82,AJMAL SUPER MART PTE. LTD.,AJMAL SUPER MART,1.312703972078,103.626129413176,637285
SW14817E000,"27 PENJURU WALK, #01-24 PENJURU RECREATION CENTRE, S(608538)",83,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG,1.31865728379443,103.733152140767,608538
SW14951X000,"1 JOO KOON CIRCLE, #03-21 FAIRPRICE HUB, S(629117)",84,NTUC FAIRPRICE CO-OPERATIVE LTD,WAREHOUSE CLUB,1.32539180665075,103.678392265337,629117
SW14A33P000,"27 PENJURU WALK, #01-08/09 PENJURU RECREATION CENTRE, S(608538)",85,VINAYAK TRADERS PTE. LTD.,VINAYAK TRADERS,1.31865728379443,103.733152140767,608538
SW14A98C000,"27 PENJURU WALK, #01-15 PENJURU RECREATION CENTRE, S(608538)",86,GURU'S MARKETING PTE. LTD.,Gurus Supermarket,1.31865728379443,103.733152140767,608538
SW14B28C000,"115 TUAS VIEW WALK 1 (PART OF- FRONT), FIRST STOREY, WESTLINK TECHPARK, S(637734)",87,SHINVA AGRO FOODS PTE. LTD.,SHINVA AGRO FOODS,1.30091123508276,103.627789990003,637734
SW15051V000,"27 PENJURU WALK, #01-06/07 PENJURU RECREATION CENTRE, S(608538)",88,ARCHANA PROVISION STORES PTE. LTD.,archana,1.31865728379443,103.733152140767,608538
SW15681P000,"21 TUAS VIEW SQUARE (PART OF), S(637640)",89,NPS IMPEX PTE. LTD.,NSP SUPER MART,1.29891712474996,103.627532390173,637640
SW15796X000,"533 CHOA CHU KANG STREET 51, #01-11 LIMBANG SHOPPING CENTRE (HDB), S(680533)",90,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.3920738867617,103.743099573442,680533
SW15968N000,"37 TEBAN GARDENS ROAD #01-304/305/306, S(600037)",91,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.32053143645806,103.742652199249,600037
SW15D03B000,"50 NANYANG AVENUE NORTH SPINE , NTU, S(639798)",92,PRIME SUPERMARKET (1996) PTE LTD,Prime Supermarket,1.34421841586272,103.680152218583,639798
SW16126J000,"6 TUAS SOUTH STREET 15 CDPL (TUAS) DORMITORY, S(636906)",93,TUAS SOUTH MINIMART PTE. LTD.,TUAS SOUTH MINIMART,1.2723601780185,103.637033572628,636906
SW16224E000,"3 TUAS SOUTH STREET 12, #01-16 TUAS SOUTH DORMITORY, S(636947)",94,NAWAS GLOBAL PTE. LTD.,NAWAS GLOBAL,1.27164521611331,103.63361127365,636947
SW16735N000,"1 JALAN PAPAN, #01-31, S(619392)",95,GURU'S MARKETING PTE. LTD.,-,1.32087635946694,103.727545977964,619392
SW16814X000,"1 JALAN PAPAN, #01-33, S(619392)",96,VINAYAK TRADERS PTE. LTD.,VINAYAK TRADERS,1.32087635946694,103.727545977964,619392
