year_completed,multigen_sold,bldg_contract_town,multistorey_carpark,street,total_dwelling_units,blk_no,exec_sold,max_floor_lvl,residential,1room_sold,precinct_pavilion,other_room_rental,5room_sold,3room_sold,commercial,4room_sold,miscellaneous,studio_apartment_sold,2room_rental,2room_sold,1room_rental,3room_rental,market_hawker,_id
1992,0,TP,Y,LOR 2 TOA PAYOH,0,101C,0,4,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,134
2001,0,PG,N,PUNGGOL FIELD,86,101C,0,17,Y,0,N,0,86,0,Y,0,Y,0,0,0,0,0,N,135
1984,0,YS,N,YISHUN AVE 5,0,101C,0,1,N,0,N,0,0,0,Y,0,N,0,0,0,0,0,N,136
2001,0,PG,N,PUNGGOL FIELD,85,101D,0,17,Y,0,N,0,57,0,N,28,N,0,0,0,0,0,N,137
1977,0,GL,N,ALJUNIED CRES,150,102,1,12,Y,0,N,0,3,124,N,22,Y,0,0,0,0,0,N,138
1977,0,AMK,N,ANG MO KIO AVE 3,88,102,0,12,Y,0,N,0,22,0,N,66,Y,0,0,0,0,0,N,139
1985,0,BD,N,BEDOK RESERVOIR RD,24,102,0,4,Y,0,N,0,0,16,N,8,N,0,0,0,0,0,N,140
1976,0,BD,N,BEDOK NTH AVE 4,150,102,4,14,Y,0,N,0,2,118,N,26,N,0,0,0,0,0,N,141
1986,0,BH,N,BISHAN ST 12,92,102,8,25,Y,0,N,0,84,0,N,0,N,0,0,0,0,0,N,142
1984,0,BB,N,BT BATOK WEST AVE 6,96,102,0,13,Y,0,N,0,48,2,N,46,N,0,0,0,0,0,N,143
1983,0,BM,N,BT PURMEI RD,147,102,0,10,Y,0,N,0,0,93,N,54,Y,0,0,0,0,0,N,144
1964,0,QT,N,C'WEALTH CRES,95,102,0,10,Y,0,N,0,0,80,N,5,N,0,0,10,0,0,N,145
2019,0,SB,Y,CANBERRA ST,0,102,0,6,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,146
1984,0,CL,N,CLEMENTI ST 14,8,102,8,4,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,147
2017,0,BM,N,DEPOT RD,0,102,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,148
1986,0,BP,N,GANGSA RD,90,102,0,10,Y,0,N,0,0,54,N,36,N,0,0,0,0,0,N,149
1967,0,BM,N,HENDERSON CRES,140,102,0,14,Y,0,N,0,0,0,N,140,N,0,0,0,0,0,N,150
1983,0,HG,N,HOUGANG AVE 1,90,102,0,13,Y,0,N,0,0,19,Y,71,N,0,0,0,0,0,N,151
1980,0,KWN,N,JLN RAJAH,198,102,0,12,Y,0,N,0,0,0,Y,198,N,0,0,0,0,0,N,152
1981,0,KWN,N,JLN DUSUN,96,102,0,25,Y,0,N,0,96,0,N,0,N,0,0,0,0,0,N,153
1981,0,JE,N,JURONG EAST ST 13,196,102,0,12,Y,0,N,0,2,172,N,22,N,0,0,0,0,0,N,154
1988,0,BD,N,LENGKONG TIGA,73,102,0,14,Y,0,N,0,51,0,N,22,N,0,0,0,0,0,N,155
1988,0,PRC,N,PASIR RIS ST 12,96,102,0,13,Y,0,N,0,42,0,N,54,N,0,0,0,0,0,N,156
