address,latitude,longitude,postal_code,building,road_name
131B KIM TIAN RD,1.28091756873327,103.828370313694,162131,KIM TIAN VISTA,KIM TIAN ROAD
131C KIM TIAN RD,1.28031242686461,103.828822266209,163131,KIM TIAN VISTA,KIM TIAN ROAD
471 SEGAR RD,1.3882916461168,103.772894835446,670471,SEGAR GARDENS,SEGAR ROAD
654 SENJA RD,1.38784692769514,103.764249296909,670654,NIL,SENJA ROAD
608 SENJA RD,1.38290197575175,103.761368223608,670608,NIL,SENJA ROAD
7 PINE CL,1.30767573187081,103.882412035537,391007,NIL,PINE CLOSE
651B JURONG WEST ST 61,1.33707171569253,103.698260716035,642651,NIL,JURONG WEST STREET 61
662C JURONG WEST ST 64,1.33748082799852,103.704016273042,643662,NIL,JURONG WEST STREET 64
666B JURONG WEST ST 65,1.33961422416176,103.701958631652,642666,NIL,JURONG WEST STREET 65
416 CANBERRA RD,1.45187860111274,103.818911242365,750416,NIL,CANBERRA ROAD
507D WELLINGTON CIRCLE,1.45125280194375,103.822961716013,754507,MONTREAL SPRING,WELLINGTON CIRCLE
305B ANCHORVALE LINK,1.3891951454752,103.888598523836,542305,ANCHORVALE PLACE,ANCHORVALE LINK
307D ANCHORVALE RD,1.39029890072186,103.886489261901,544307,ANCHORVALE PLACE,ANCHORVALE ROAD
308A ANCHORVALE RD,1.38989490574426,103.885920239987,541308,ANCHORVALE PLACE,ANCHORVALE ROAD
308B ANCHORVALE RD,1.38993095065831,103.886560729813,542308,ANCHORVALE PLACE,ANCHORVALE ROAD
404B FERNVALE LANE,1.38829654333715,103.873546044227,792404,FERN SPRING,FERNVALE LANE
321C ANCHORVALE DR,1.39058578077811,103.891617324,543321,ANCHORVALE GROVE,ANCHORVALE DRIVE
308C ANCHORVALE RD,1.3892274723179,103.886844686117,543308,ANCHORVALE PLACE,ANCHORVALE ROAD
183B RIVERVALE CRES,1.39130624638809,103.908329711702,542183,NIL,RIVERVALE CRESCENT
583 WOODLANDS DR 16,1.43039588715816,103.795316786283,730583,NIL,WOODLANDS DRIVE 16
309A ANG MO KIO ST 31,1.36502933267756,103.845300649183,562309,TECK GHEE VISTA,ANG MO KIO STREET 31
17 CANTONMENT CL,1.27383556871582,103.839844255368,080017,CANTONMENT TOWERS,CANTONMENT CLOSE
119D KIM TIAN RD,1.2819459836123,103.827911093868,164119,KIM TIAN 119,KIM TIAN ROAD
17 TELOK BLANGAH CRES,1.27776786253278,103.821702419401,090017,MOUNT FABER VIEW,TELOK BLANGAH CRESCENT
612 SENJA RD,1.38402104593465,103.761034236428,670612,NIL,SENJA ROAD
618 SENJA RD,1.38526615646952,103.761287937355,670618,NIL,SENJA ROAD
610 SENJA RD,1.38340067966504,103.761236851817,670610,NIL,SENJA ROAD
624 SENJA RD,1.38624340292657,103.76183758098,670624,NIL,SENJA ROAD
655 SENJA RD,1.38727989981171,103.764301084381,670655,NIL,SENJA ROAD
684D CHOA CHU KANG CRES,1.40467820311031,103.746800063318,684684,NIL,CHOA CHU KANG CRESCENT
366 CLEMENTI AVE 2,1.31254953553443,103.771676380482,120366,NIL,CLEMENTI AVENUE 2
268A BOON LAY DR,1.3479800119286,103.707547320825,641268,BOON LAY COURT,BOON LAY DRIVE
274D JURONG WEST AVE 3,1.35220345812642,103.704386059837,644274,WENYA,JURONG WEST AVENUE 3
657A JURONG WEST ST 65,1.33541318020516,103.700289313311,641657,NIL,JURONG WEST STREET 65
674A JURONG WEST ST 65,1.34446133704193,103.702315277328,641674,NIL,JURONG WEST STREET 65
196D PUNGGOL FIELD,1.39966081419517,103.907234511303,824196,NIL,PUNGGOL FIELD
354A ADMIRALTY DR,1.45006599986269,103.818890891158,751354,NIL,ADMIRALTY DRIVE
507C WELLINGTON CIRCLE,1.4517313216515,103.823451879244,753507,MONTREAL SPRING,WELLINGTON CIRCLE
468B ADMIRALTY DR,1.45000861656514,103.814110899773,752468,BLUE RIVERVIEW,ADMIRALTY DRIVE
304B ANCHORVALE LINK,1.38865003717567,103.889215386426,542304,ANCHORVALE COURT,ANCHORVALE LINK
296A COMPASSVALE CRES,1.3970353252163,103.899330986212,541296,COMPASSVALE LODGE,COMPASSVALE CRESCENT
183D RIVERVALE CRES,1.39145041079796,103.908743124375,544183,NIL,RIVERVALE CRESCENT
301D ANCHORVALE DR,1.38840523759899,103.891301833133,544301,ANCHORVALE COURT,ANCHORVALE DRIVE
319B ANCHORVALE DR,1.39139722657163,103.890466407379,542319,ANCHORVALE GROVE,ANCHORVALE DRIVE
322C ANCHORVALE DR,1.39189398402945,103.892092264081,543322,ANCHORVALE GROVE,ANCHORVALE DRIVE
189A RIVERVALE DR,1.39556120814367,103.904021658575,541189,RIVERVALE GATEWAY,RIVERVALE DRIVE
